Type,Size,Plant,Treatment,pH,EC,Ca,K,Mg,Na,ECEC,ESP,Available P
Turba,Fallow,<2mm,A,8.63,0.19,147,7.92,15.7,44.1,215,0.21,108
Turba,Fallow,<2mm,A,8.7,0.19,141,6.56,14.7,48.3,211,0.23,108
Turba,Fallow,<2mm,A,8.7,0.19,147,6.31,14.7,46.8,215,0.22,108
Turba,Fallow,<4mm,B,8.71,0.19,142,6.2,15.5,46.8,210,0.22,108
Turba,Fallow,<4mm,B,8.7,0.19,144,6.66,16.3,47.1,214,0.22,106
Turba,Fallow,<4mm,B,8.7,0.19,142,6.4,14.8,50.7,214,0.24,107
Turba,Fallow,2-4mm,C,8.65,0.2,185,6.3,19,39.8,250,0.16,116
Turba,Fallow,2-4mm,C,8.66,0.22,195,6.67,21,38.6,261,0.15,114
Turba,Fallow,2-4mm,C,8.7,0.2,188,6.74,20.4,41.4,256,0.16,116
Turba,Grass,<2mm,D,8.14,0.38,159,3.49,26.6,42.1,231,0.18,102
Turba,Grass,<2mm,D,8.24,0.24,163,5.2,26.1,36.5,231,0.16,97
Turba,Grass,<2mm,D,8.31,0.37,150,5.38,24,50.5,230,0.22,108
Turba,Grass,<2mm,D,8.14,0.31,167,4.07,25.4,39.6,237,0.17,98
Turba,Grass,<4mm,E,8.36,0.3,154,3.93,23.9,42,223,0.19,103
Turba,Grass,<4mm,E,8.47,0.27,151,4.77,23.8,44.4,224,0.20,99
Turba,Grass,<4mm,E,8.43,0.31,149,4.55,24.3,47.6,226,0.21,103
Turba,Grass,<4mm,E,8.21,0.23,158,4.23,24.8,38.1,225,0.17,99
Turba,Grass,2-4mm,F,8.07,0.41,172,5.63,32.1,40.3,250,0.16,123
Turba,Grass,2-4mm,F,8.31,0.33,164,4.74,27.6,43.4,240,0.18,124
Turba,Grass,2-4mm,F,8.26,0.28,170,6.34,34.4,36.5,247,0.15,124
Turba,Grass,2-4mm,F,8.21,0.23,180,4.52,30.2,31.9,247,0.13,121
Sand,Fallow,,M,7.48,0.01,1.15,0.02,0.33,0,1.52,0.01,13.8
Sand,Fallow,,M,7.52,0.01,1.14,0.03,0.34,0,1.53,0.01,13
Sand,Fallow,,M,7.49,0.01,1.13,0.02,0.33,0,1.5,0.01,13.7
Sand,Grass,,N,7.46,0.03,1.04,0.05,0.68,0.03,1.8,0.02,15.2
Sand,Grass,,N,7.42,0.03,1.03,0.06,0.69,0.03,1.81,0.02,15.2
Sand,Grass,,N,7.41,0.03,1.02,0.05,0.68,0.03,1.78,0.02,15
Soil,Fallow,<2mm,G,6.23,0.05,48.8,3,17,3,72,0.04,122
Soil,Fallow,<2mm,G,6.31,0.05,49,4,16,3,72,0.05,122
Soil,Fallow,<2mm,G,6.33,0.06,51.5,4,16,2,73,0.03,125
Soil,Fallow,<4mm,H,6.17,0.06,45.8,3,15,2,67,0.04,127
Soil,Fallow,<4mm,H,6.08,0.06,45.9,4,16,3,69,0.04,131
Soil,Fallow,<4mm,H,6.13,0.06,46.9,4,15,2,68,0.03,131
Soil,Fallow,2-4mm,I,6.23,0.05,51.2,5,18,2,77,0.03,124
Soil,Fallow,2-4mm,I,6.37,0.065,47.4,4,19,2,72,0.03,112
Soil,Fallow,2-4mm,I,6.26,0.049,45.8,4,18,2,70,0.03,109
Soil,Grass,<2mm,J,5.27,0.14,43.9,3,16,2,65,0.03,142
Soil,Grass,<2mm,J,5.29,0.16,47.1,3,17,2,69,0.04,120
Soil,Grass,<2mm,J,5.23,0.14,43.7,3,17,2,66,0.03,117
Soil,Grass,<2mm,J,,0.11,45,3,16,3,67,0.04,127
Soil,Grass,<2mm,J,,,52.3,1,18,3,75,0.04,
Soil,Grass,<4mm,K,5.2,0.15,44.7,3,16,2,65,0.04,116
Soil,Grass,<4mm,K,5.31,0.1,42.9,3,17,3,65,0.04,125
Soil,Grass,<4mm,K,5.77,0.17,60.5,1,17,3,82,0.03,126
Soil,Grass,<4mm,K,,0.11,72.2,1,17,3,94,0.03,135
Soil,Grass,2-4mm,L,5.48,0.15,64,1.4,22,2,90,0.03,126
Soil,Grass,2-4mm,L,5.71,0.09,56,1,18,2,77,0.03,113
Soil,Grass,2-4mm,L,5.76,0.19,68,1.1,20,2,92,0.02,121
Soil,Grass,2-4mm,L,,,55,1.1,23,2,81,0.03,108
